folder,fid,B01_median,B02_median,B03_median,B04_median,B05_median,B06_median,B07_median,B08_median,B09_median,B11_median,B12_median,B8A_median,ndvi_median,GLI_median,CVI_median,SIPI_median,S2REP_median,CCCI_median,hue_median,RENDVI_median,RECI_median,RECI2_median,evi_median,evi2_median,npcri_median,ndwi_median,field_tile_count_median,field_overlap_count_median,B01_max,B02_max,B03_max,B04_max,B05_max,B06_max,B07_max,B08_max,B09_max,B11_max,B12_max,B8A_max,ndvi_max,GLI_max,CVI_max,SIPI_max,S2REP_max,CCCI_max,hue_max,RENDVI_max,RECI_max,RECI2_max,evi_max,evi2_max,npcri_max,ndwi_max,field_tile_count_max,field_overlap_count_max,tile_width,tile_height
0000,1,1613,1738,2062,2434,2866,3232,3462,3440,3646,3281,3268,3482,0.171066163866987,-0.00876095118898623,1.98593228868445,1.69391634980989,712.697594501718,0.538671927257747,1.5707820557861,0.0580795473456482,0.412737799834574,0.204053109713487,0.498585227827105,0.410488431876607,0.169425511197663,-0.252562225475842,363,1,1728,1934,2280,2792,3103,3654,3929,3737,4225,3839,3664,4040,0.221957040572792,0.012633386483503,2.4033795332937,2.45177664974619,723.832781456954,0.738024045565862,1.57078735565784,0.100205902539465,0.570552147239264,0.372997711670481,0.693910256410256,0.532606101926027,0.194244604316547,-0.194906261054121,363,1,,
0001,2,1551,1647,1922,2306,2563,2831,2977,3045,3137,3113,2871,3105,0.138370589322003,-0.0148684712161647,1.91260195106349,1.89342403628118,716.085972850679,0.621633053195025,1.57078127202515,0.0511596180081855,0.321183533447684,0.191566265060241,0.404334653926824,0.332028075360177,0.168210628961482,-0.227506936187079,273,1,1643,1755,2100,2538,2839,3396,3673,3532,3974,3616,3415,3680,0.213174086138256,0.00254582484725051,2.22187776757318,2.33707865168539,724.180463576159,0.76963385928273,1.57078502199069,0.121347201584943,0.541858325666973,0.368163265306122,0.685185185185185,0.511525239732224,0.197115384615385,-0.190291658168468,273,1,,
0002,3,1529,1579,1862,2112,2453,2917,3189,3347.5,3352,3123,2671,3334,0.220973581595152,0.00102279084817312,2.0525024345024,1.41911050494976,717.245792731431,0.667973345475104,1.57077151213196,0.0870132289919881,0.567307640467611,0.360642022472441,0.763485994025209,0.530238649848372,0.137286231047487,-0.285374554102259,40,1,1562,1824,1978,2356,2561,3309,3648,3558,3802,3483,2987,3687,0.281023928770173,0.0339326754089496,2.17358782221603,1.74362089914945,726.117571059432,0.812256566668184,1.57078025352185,0.132443531827515,0.781733746130031,0.454081632653061,1.09365910413031,0.67433234421365,0.169039606523427,-0.238481834787903,40,1,,
0003,4,1516,1624,1902,2120,2593,3161,3410,3460,3465,3342,2824,3565,0.239063350880378,0.00628930817610063,1.99831612502206,1.37453183520599,716.348484848485,0.607311088424409,1.57076798907619,0.0953571428571429,0.628339694656489,0.33503534956795,0.828574975173784,0.573647912885662,0.128757799205899,-0.289623507805326,51,1,1545,2050,2412,2862,2940,3461,3613,3579,3668,3854,3438,3729,0.289657710710342,0.0295476823974233,2.15873938672868,2.3265306122449,728.383361921098,1.02264170208421,1.57078653609125,0.140215716486903,0.815544041450777,0.421346077260056,1.21615164064989,0.695050597976081,0.189031990029082,-0.191689008042895,51,1,,
0004,5,1550,1693,1968,2328,2685,3084,3319,3398,3526,3286,3132.5,3512,0.186943364062241,-0.00525035215776668,2.0050291133578,1.58619215998501,716.338803718194,0.604711430053961,1.57077897550877,0.0688204159699751,0.459853399910551,0.258233304172087,0.582465291707822,0.448587350733282,0.15596783104051,-0.262718299164768,226,1,1686,2050,2406,2864,3031,3461,3599,3595,3705,3895,3506,3624,0.268672566371681,0.0177670541785479,2.27322717311907,2.32716049382716,727.258426966292,0.845087359833104,1.57078613177247,0.134041476985331,0.734753146176186,0.395638629283489,0.97532767925983,0.644700053087949,0.183910831112188,-0.186887461980399,226,1,,
0005,6,1673,1800,2114,2496,2919,3290,3533,3471,3608,3290,3123,3546,0.165948989731699,-0.00747952036091654,1.92889235854463,1.69609856262834,712.518518518519,0.523850153662887,1.57078197012436,0.0591929659287172,0.397934868943606,0.195410057374283,0.504787676935887,0.398211624441133,0.161698283649503,-0.243633736680513,271,1,1702,2019,2398,2828,3185,3475,3629,3648,3790,3698,3454,3642,0.249824314827829,0.0313339301700985,2.16918159100375,2.39102564102564,727.941696113074,0.854759134703785,1.57078753564945,0.13392563343205,0.666042154566745,0.351443768996961,0.835726593911545,0.59947303706306,0.197536295644523,-0.188516084399862,271,1,,
0006,7,1665,1817,2160,2570,2926,3322,3533,3513,3743,3299,3054,3615,0.154062551712725,-0.00557305548824812,1.91948505845365,1.76906552094522,712.491438356164,0.536489919375916,1.57078310891219,0.0530546623794212,0.364241001564945,0.191129883843717,0.46327627388535,0.369688947716744,0.165457523987831,-0.236305619570998,267,1,1709,2122,2454,2836,3120,3623,3900,3852,4059,4016,3581,3921,0.363803907113896,0.0707296617277048,2.16090032099999,2.42056074766355,730.956375838926,0.844225170651331,1.57078755058424,0.190272757147552,1.14368482039397,0.563311688311688,1.76281478835506,0.872968490878939,0.198711063372718,-0.199577613516367,267,1,,
0007,8,1653,1785,2096,2500,2860,3131,3320,3405,3603,3865,3540,3561,0.154557463672391,-0.0119127893908744,1.94243313254892,1.77542372881356,712.7,0.573233073364126,1.57078288650328,0.0463620981387479,0.365625,0.192844974446337,0.457719162141195,0.370876671619614,0.165293262239457,-0.238485922058549,257,1,1694,1921,2224,2682,3057,3397,3672,3641,4059,4039,3719,3727,0.235080435910742,0.0165000602191979,2.197480149005,2.10704225352113,725.520304568528,0.779619480428072,1.5707862528089,0.13149949681315,0.614654002713704,0.37891077636153,0.813148788927336,0.564095468695953,0.194950911640954,-0.208107129931234,257,1,,
0008,9,1638,1720,2016.5,2402,2720,2917,3072,3158,3461,3414,3324,3345,0.138843221230219,-0.0120060003502553,1.89163506818265,1.86709392711726,713.658254412398,0.583400740010556,1.57078129670505,0.0406194995759479,0.3224576134084,0.175123911409164,0.423768035516093,0.333164840189494,0.163679756997179,-0.223632889564979,120,1,1651,1846,2148,2570,2899,3536,3738,3640,3666,3685,3556,3756,0.208768971332209,0.00781343911527828,2.10033203784442,2.1112676056338,725.451807228916,0.787665238951139,1.57078566590352,0.106729264475743,0.52770673486786,0.34562383612663,0.717930874507075,0.50096105209914,0.187011140080588,-0.198793969849246,120,1,,
0009,10,1558,1618.5,1898,2124,2506,3332,3552,3582,3695,3089.5,2661,3607,0.259248831633474,0.00668598709376004,2.10601115255257,1.328479577485,718.733278508772,0.69730414406389,1.57076752386362,0.143595541915684,0.699962091479949,0.448304383788255,0.906829865984145,0.622088375346894,0.134593249300208,-0.307389842408413,260,1,1651,1752,2090,2425,2703,3811,4142,4627,3804,3347,3241,4173,0.382225541448842,0.0552890684170664,2.75988305888244,1.80065717415115,725.797477744807,0.849527345853333,1.57078341920058,0.220061083427102,1.23742746615087,0.871006874241812,1.4360231271996,0.917204301075269,0.188353517134759,-0.243716679360244,260,1,,
0010,11,1612,1600,1905,1952.5,2452,3432,3730,3746,3832,3368,2721,3825.5,0.314656366691076,0.0312671420735052,2.02667934920508,1.19161096067935,718.820666717639,0.672592885872058,1.5706653721632,0.166164213513034,0.918244079811388,0.530634049261342,1.30257695806925,0.755039248264914,0.100348566478057,-0.326806318984954,266,1,1848,2170,2516,2874,3019,3734,3990,4370,4059,4018,3628,4205,0.421813403416557,0.0761022184779556,2.31983271079416,1.74791666666667,730.751096491228,1.0010569138438,1.57078503692128,0.21282605083901,1.45909090909091,0.826931194596876,2.0616570327553,1.01218590901626,0.153488372093023,-0.20346032274164,266,1,,
0011,12,1625,1629,1849.5,2138,2381,2626,2785,2792,3103,3043,2844,2957,0.122065739906051,-0.0109013950752989,1.76526967617368,1.84429878802869,718.475935828877,0.654601037009286,1.57077506529955,0.0530194472876152,0.278124596783375,0.17283693843594,0.446424451168606,0.292898726494507,0.13659925112713,-0.194908661078874,44,1,1677,1708,1980,2288,2591,2988,3262,3343,3766,3309,3026,3404,0.234262506922651,0.0098273572377158,2.08851631512529,2.2312925170068,726.695205479452,0.768603424073011,1.57078056152274,0.113056435090333,0.611861137897782,0.404031919361613,0.937777120898611,0.562126245847176,0.155625657202944,-0.176019833220645,44,1,,
0012,13,1732,1710,1970.5,2370,2632,2848,3001,2991,3429,3369,3155,3163,0.112885753254919,-0.0170351949852622,1.82680558473186,2.08136308289547,716.260869565217,0.568721842879278,1.57078169977713,0.036036036036036,0.25450105837165,0.137051051586757,0.351858534824973,0.270875511242158,0.159242608870835,-0.203793381759483,236,1,1821,2148,2426,2844,2927,3527,3720,3807,3766,3890,3587,3805,0.269198024859527,0.0254041570438799,2.25451769414216,2.47553816046967,731.083650190114,0.957963692620078,1.57078624892102,0.168654738237243,0.736719478098789,0.505779194898366,1.05051664753157,0.645965270684372,0.188848484848485,-0.179251202677264,236,1,,
